Category,Dataset,Model,Categories_Distances,Num_Features,AIC,F1
ChEMBL,assays_horizontal_0_ac5_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8205128205128205
ChEMBL,assays_both_0_50_ec_ev,bert-base-uncased,Topology,48,96.11601591389653,0.5333333333333333
ChEMBL,assays_both_0_70_ac1_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8148148148148148
ChEMBL,assays_vertical_30_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.6666666666666666
ChEMBL,assays_both_0_30_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,0.6666666666666666
ChEMBL,assays_horizontal_100_ac3_ev,bert-base-uncased,Topology,48,96.11601591389653,0.7222222222222222
ChEMBL,assays_horizontal_100_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,0.8205128205128205
ChEMBL,assays_vertical_50_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.16666666666666666
ChEMBL,assays_horizontal_0_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,0.7894736842105263
ChEMBL,assays_horizontal_0_ac3_ev,bert-base-uncased,Topology,48,96.11601591389653,0.7222222222222222
ChEMBL,assays_both_50_30_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.2857142857142857
ChEMBL,assays_both_0_50_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.7777777777777778
ChEMBL,assays_both_0_70_ac5_ev,bert-base-uncased,Topology,48,96.11601591389653,0.7692307692307693
ChEMBL,assays_horizontal_50_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,0.7894736842105263
ChEMBL,assays_vertical_50_ac2_ev,bert-base-uncased,Topology,48,96.11601591389653,0.4
ChEMBL,assays_both_50_1_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
ChEMBL,assays_both_0_30_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
ChEMBL,assays_both_50_50_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.7058823529411765
ChEMBL,assays_both_0_1_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,1.0
ChEMBL,assays_vertical_1_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_both_50_30_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.6666666666666666
TPC-DI,prospect_both_0_1_ac1_ev,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_vertical_70_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,0.75
TPC-DI,prospect_vertical_50_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.7777777777777778
TPC-DI,prospect_vertical_1_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_vertical_70_ac3_ev,bert-base-uncased,Topology,48,96.11601591389653,0.6956521739130435
TPC-DI,prospect_both_50_70_ac5_ev,bert-base-uncased,Topology,48,96.11601591389653,0.9285714285714286
TPC-DI,prospect_both_0_50_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.9523809523809523
TPC-DI,prospect_horizontal_100_ac1_ev,bert-base-uncased,Topology,48,96.11601591389653,0.926829268292683
TPC-DI,prospect_both_50_50_ac2_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8421052631578947
TPC-DI,prospect_both_0_50_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8421052631578947
TPC-DI,prospect_horizontal_0_ac1_ev,bert-base-uncased,Topology,48,96.11601591389653,0.926829268292683
TPC-DI,prospect_horizontal_50_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,0.9767441860465116
TPC-DI,prospect_both_0_30_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,0.9090909090909091
TPC-DI,prospect_both_0_50_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.9
TPC-DI,prospect_vertical_1_ec_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_both_50_1_ec_ev,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_vertical_30_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,0.6666666666666666
TPC-DI,prospect_horizontal_50_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,0.9523809523809523
TPC-DI,prospect_both_50_50_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.9
TPC-DI,prospect_both_0_50_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.7058823529411765
TPC-DI,prospect_both_0_70_ac5_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8461538461538461
TPC-DI,prospect_both_50_50_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,0.7777777777777778
TPC-DI,prospect_both_0_1_ec_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_vertical_70_ac4_av,bert-base-uncased,Topology,48,96.11601591389653,0.6956521739130435
TPC-DI,prospect_vertical_50_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.625
TPC-DI,prospect_both_50_30_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_both_0_30_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.6666666666666666
TPC-DI,prospect_both_0_30_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_both_50_1_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_both_0_1_ac4_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_horizontal_100_ec_ev,bert-base-uncased,Topology,48,96.11601591389653,0.926829268292683
TPC-DI,prospect_both_50_30_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_both_50_50_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.9523809523809523
TPC-DI,prospect_both_0_70_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_vertical_30_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_both_0_70_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_vertical_70_ac2_ev,bert-base-uncased,Topology,48,96.11601591389653,0.6956521739130435
TPC-DI,prospect_both_50_30_ac5_ev,bert-base-uncased,Topology,48,96.11601591389653,0.6666666666666666
TPC-DI,prospect_both_50_1_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_horizontal_0_ac2_ev,bert-base-uncased,Topology,48,96.11601591389653,0.9523809523809523
TPC-DI,prospect_both_50_30_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_both_50_30_ac3_ev,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_both_50_1_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_vertical_1_ac2_av,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_both_50_70_ac3_av,bert-base-uncased,Topology,48,96.11601591389653,0.8888888888888888
TPC-DI,prospect_both_50_70_ac1_av,bert-base-uncased,Topology,48,96.11601591389653,0.8
TPC-DI,prospect_horizontal_100_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.9523809523809523
TPC-DI,prospect_horizontal_0_ac5_av,bert-base-uncased,Topology,48,96.11601591389653,0.9545454545454546
TPC-DI,prospect_both_0_30_ec_av,bert-base-uncased,Topology,48,96.11601591389653,0.9090909090909091
TPC-DI,prospect_both_0_1_ac4_ev,bert-base-uncased,Topology,48,96.11601591389653,1.0
TPC-DI,prospect_vertical_50_ac1_ev,bert-base-uncased,Topology,48,96.11601591389653,0.625
TPC-DI,prospect_both_50_1_ac2_ev,bert-base-uncased,Topology,48,96.11601591389653,1.0
Wikidata,musicians_semjoinable,bert-base-uncased,Topology,48,96.11601591389653,0.0
Magellan,itunes_amazon,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.0
Magellan,amazon_google_exp,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.0
ChEMBL,assays_both_0_1_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_vertical_30_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_horizontal_0_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9047619047619048
ChEMBL,assays_both_50_30_ac4_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_horizontal_0_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8837209302325582
ChEMBL,assays_both_50_50_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9
ChEMBL,assays_horizontal_50_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.85
ChEMBL,assays_horizontal_100_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9302325581395349
ChEMBL,assays_both_0_30_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_50_50_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9
ChEMBL,assays_vertical_70_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9333333333333333
ChEMBL,assays_vertical_50_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8
ChEMBL,assays_vertical_50_ac4_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_horizontal_100_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8571428571428571
ChEMBL,assays_both_50_50_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8421052631578947
ChEMBL,assays_both_0_1_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_vertical_30_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_0_70_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8148148148148148
ChEMBL,assays_both_0_30_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_50_70_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.967741935483871
ChEMBL,assays_both_50_1_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_50_30_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8333333333333334
ChEMBL,assays_both_50_30_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9090909090909091
ChEMBL,assays_vertical_1_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_horizontal_0_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8571428571428571
ChEMBL,assays_both_50_30_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9090909090909091
ChEMBL,assays_vertical_30_ac4_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9090909090909091
ChEMBL,assays_horizontal_100_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.85
ChEMBL,assays_both_0_70_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8571428571428571
ChEMBL,assays_vertical_50_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9523809523809523
ChEMBL,assays_both_50_50_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9
ChEMBL,assays_both_50_50_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8571428571428571
ChEMBL,assays_vertical_70_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9333333333333333
ChEMBL,assays_vertical_30_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9090909090909091
ChEMBL,assays_both_0_70_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.896551724137931
ChEMBL,assays_both_0_50_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8421052631578947
ChEMBL,assays_horizontal_0_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8780487804878049
ChEMBL,assays_both_0_50_ec_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8
ChEMBL,assays_both_0_70_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8666666666666667
ChEMBL,assays_vertical_30_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_0_30_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.6666666666666666
ChEMBL,assays_horizontal_100_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8571428571428571
ChEMBL,assays_horizontal_100_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9047619047619048
ChEMBL,assays_vertical_50_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8421052631578947
ChEMBL,assays_horizontal_0_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.85
ChEMBL,assays_horizontal_0_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9302325581395349
ChEMBL,assays_both_50_30_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_0_50_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9523809523809523
ChEMBL,assays_both_0_70_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8571428571428571
ChEMBL,assays_horizontal_50_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9545454545454546
ChEMBL,assays_vertical_50_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9
ChEMBL,assays_both_50_1_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_0_30_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_both_50_50_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9
ChEMBL,assays_both_0_1_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
ChEMBL,assays_vertical_1_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_30_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_1_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_70_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9285714285714286
TPC-DI,prospect_vertical_50_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_1_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_70_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9285714285714286
TPC-DI,prospect_both_50_70_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_50_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_100_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_50_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9090909090909091
TPC-DI,prospect_both_0_50_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_0_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_50_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_30_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_50_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_1_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_1_ec_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_30_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_50_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9767441860465116
TPC-DI,prospect_both_50_50_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9565217391304348
TPC-DI,prospect_both_0_50_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9523809523809523
TPC-DI,prospect_both_0_70_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_50_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_1_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_70_ac4_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9655172413793104
TPC-DI,prospect_vertical_50_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9565217391304348
TPC-DI,prospect_both_50_30_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_30_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_30_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_1_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_1_ac4_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_100_ec_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_30_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_50_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_70_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_30_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.8333333333333334
TPC-DI,prospect_both_0_70_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_70_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9285714285714286
TPC-DI,prospect_both_50_30_ac5_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_1_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_0_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9767441860465116
TPC-DI,prospect_both_50_30_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_30_ac3_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9090909090909091
TPC-DI,prospect_both_50_1_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_1_ac2_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_70_ac3_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.9655172413793104
TPC-DI,prospect_both_50_70_ac1_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_100_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_horizontal_0_ac5_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_30_ec_av,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_0_1_ac4_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_vertical_50_ac1_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
TPC-DI,prospect_both_50_1_ac2_ev,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,1.0
Wikidata,musicians_semjoinable,bert-base-uncased,"Classiques, Spectral",37,74.04508697768419,0.0
Magellan,itunes_amazon,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.0
Magellan,amazon_google_exp,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.0
ChEMBL,assays_both_0_1_ac1_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,1.0
ChEMBL,assays_vertical_30_ac1_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.8
ChEMBL,assays_horizontal_0_ac5_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.8837209302325582
ChEMBL,assays_both_50_30_ac4_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,1.0
ChEMBL,assays_horizontal_0_ac4_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.8837209302325582
ChEMBL,assays_both_50_50_ac3_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.9523809523809523
ChEMBL,assays_horizontal_50_ac3_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.85
ChEMBL,assays_horizontal_100_ac1_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.9333333333333333
ChEMBL,assays_both_0_30_ac2_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,1.0
ChEMBL,assays_both_50_50_ac2_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.9
ChEMBL,assays_vertical_70_ac3_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.8571428571428571
ChEMBL,assays_vertical_50_ac5_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.8
ChEMBL,assays_vertical_50_ac4_av,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,1.0
ChEMBL,assays_horizontal_100_ac2_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.9302325581395349
ChEMBL,assays_both_50_50_ac1_ev,bert-base-uncased,"Classiques, Topology",55,110.05025114838539,0.7777777777777778
